取得日時,工区,ステータス
2026-02-03 21:34:55,戸山団地2工区,作業中
2026-02-03 21:34:55,戸山団地3工区,作業中
2026-02-03 21:34:55,戸山団地4工区,作業中
2026-02-03 21:34:55,野内工区,作業中
2026-02-03 21:34:55,久栗坂工区,現場確認中
2026-02-03 21:34:55,浅虫工区,作業中
2026-02-03 21:34:55,戸山工区,現場確認中
2026-02-03 21:34:55,桑原工区,現場確認中
2026-02-03 21:34:55,宮田工区,作業中
2026-02-03 21:34:55,諏訪沢工区,現場確認中
2026-02-03 21:34:55,後潟工区,現場確認中
2026-02-03 21:34:55,内真部工区,作業中
2026-02-03 21:34:55,奥内1工区,作業中
2026-02-03 21:34:55,奥内2工区,作業中
2026-02-03 21:34:55,飛鳥工区,作業中
2026-02-03 21:34:55,白旗野工区,作業中
2026-02-03 21:34:55,鶴ｹ坂･孫内工区,現場確認中
2026-02-03 21:34:55,太陽台団地工区,作業予定あり
2026-02-03 21:34:55,高田工区,現場確認中
2026-02-03 21:34:55,荒川･八ﾂ役1工区,現場確認中
2026-02-03 21:34:55,荒川･八ﾂ役2工区,作業中
2026-02-03 21:34:55,金浜･上野工区,作業中
2026-02-03 21:34:55,大別内工区,作業中
2026-02-03 21:34:55,野木工区,現場確認中
2026-02-03 21:34:55,合子沢工区,作業中
2026-02-03 21:34:55,横内1工区,作業中
2026-02-03 21:34:55,横内2工区,作業中
2026-02-03 21:34:55,梨の木工区,現場確認中
2026-02-03 21:34:55,沢山工区,現場確認中
2026-02-03 21:34:55,三本木工区,現場確認中
2026-02-03 21:34:55,矢田工区,作業中
2026-02-03 21:34:55,下湯工区,現場確認中
2026-02-03 22:56:45,A-1,作業中
2026-02-03 22:56:45,A-2,作業中
2026-02-03 22:56:45,A-3,作業中
2026-02-03 22:56:45,A-4,現場確認中
2026-02-03 22:56:45,A-5,作業中
2026-02-03 22:56:45,A-6,作業中
2026-02-03 22:56:45,B-1,現場確認中
2026-02-03 22:56:45,B-2-1,現場確認中
2026-02-03 22:56:45,B-2-2,作業中
2026-02-03 22:56:45,B-3-1,作業中
2026-02-03 22:56:45,B-3-2,現場確認中
2026-02-03 22:56:45,B-4-1,作業中
2026-02-03 22:56:45,B-4-2,作業中
2026-02-03 22:56:45,B-5,現場確認中
2026-02-03 22:56:45,B-6,作業中
2026-02-03 22:56:45,B-7,作業予定あり
2026-02-03 22:56:45,B-8,現場確認中
2026-02-03 22:56:45,B-9,現場確認中
2026-02-03 22:56:45,B-10-1,作業中
2026-02-03 22:56:45,B-10-2,作業中
2026-02-03 22:56:45,B-11-1,現場確認中
2026-02-03 22:56:45,B-11-2A,作業中
2026-02-03 22:56:45,B-11-2B,作業中
2026-02-03 22:56:45,B-12-1,現場確認中
2026-02-03 22:56:45,B-12-2,現場確認中
2026-02-03 22:56:45,B-13,現場確認中
2026-02-03 22:56:45,C-1-1,作業中
2026-02-03 22:56:45,C-1-2,作業中
2026-02-03 22:56:45,C-2-1,作業中
2026-02-03 22:56:45,C-2-2,現場確認中
2026-02-03 22:56:45,C-3-1,現場確認中
2026-02-03 22:56:45,C-3-2,作業中
2026-02-03 22:56:45,C-4-1,作業中
2026-02-03 22:56:45,C-4-2,作業中
2026-02-03 22:56:45,C-5,作業中
2026-02-03 22:56:45,C-6,作業中
2026-02-03 22:56:45,C-7,作業中
2026-02-03 22:56:45,C-8,作業中
2026-02-03 22:56:45,D-1-1,作業中
2026-02-03 22:56:45,D-1-2,作業中
2026-02-03 22:56:45,D-2,作業中
2026-02-03 22:56:45,D-3,作業中
2026-02-03 22:56:45,D-4,作業中
2026-02-03 22:56:45,D-5,作業中
2026-02-03 22:56:45,D-6-1,作業中
2026-02-03 22:56:45,D-6-2,作業中
2026-02-03 22:56:45,D-7,作業中
2026-02-03 22:56:45,D-8,作業中
2026-02-03 22:56:45,D-9,作業中
2026-02-03 22:56:45,D-10,作業中
2026-02-03 22:56:45,D-11,作業中
2026-02-03 22:56:45,D-12-1,作業中
2026-02-03 22:56:45,D-12-2,作業中
2026-02-03 22:56:45,D-13,作業中
2026-02-03 22:56:45,D-14,作業中
2026-02-03 22:56:45,D-15,作業中
2026-02-03 22:56:45,D-16,作業中
2026-02-03 22:56:45,D-17,作業中
2026-02-03 22:56:45,E-1-1,現場確認中
2026-02-03 22:56:45,E-1-2,現場確認中
2026-02-03 22:56:45,E-2,作業中
2026-02-03 22:56:45,E-3-1,作業中
2026-02-03 22:56:45,E-3-2,作業予定あり
2026-02-03 22:56:45,E-3-3,作業中
2026-02-03 22:56:45,E-4-1,現場確認中
2026-02-03 22:56:45,E-4-2,作業中
2026-02-03 22:56:45,E-5,作業中
2026-02-03 22:56:45,E-6,作業中
2026-02-03 22:56:45,E-7-1,作業中
2026-02-03 22:56:45,E-7-2,作業中
2026-02-03 22:56:45,E-8,作業中
2026-02-03 22:56:45,E-9,作業中
2026-02-03 22:56:45,E-10-1,作業中
2026-02-03 22:56:45,E-10-2,作業中
2026-02-03 22:56:45,F-1,作業中
2026-02-03 22:56:45,F-2-1,現場確認中
2026-02-03 22:56:45,F-2-2A,作業中
2026-02-03 22:56:45,F-2-2B,現場確認中
2026-02-03 22:56:45,F-2-2C,作業予定あり
2026-02-03 22:56:45,F-3,作業中
2026-02-03 22:56:45,F-4-1,作業中
2026-02-03 22:56:45,F-4-2,現場確認中
2026-02-03 22:56:45,F-5,現場確認中
2026-02-03 22:56:45,F-6-1,作業中
2026-02-03 22:56:45,F-6-2,作業中
2026-02-03 22:56:45,F-7,作業中
2026-02-03 22:56:45,F-8-1,作業中
2026-02-03 22:56:45,F-8-2,作業中
2026-02-03 22:56:45,F-9,作業中
2026-02-03 22:56:45,F-10,作業予定あり
2026-02-03 22:56:45,F-11,作業中
2026-02-03 22:56:45,G-1-1,作業中
2026-02-03 22:56:45,G-1-2,作業中
2026-02-03 22:56:45,G-2,作業中
2026-02-03 22:56:45,G-3,現場確認中
2026-02-03 22:56:45,G-4,現場確認中
2026-02-03 22:56:45,G-5,作業中
2026-02-03 22:56:45,G-6-1,作業中
2026-02-03 22:56:45,G-6-2,現場確認中
2026-02-03 22:56:45,G-7,作業中
2026-02-03 22:56:45,G-8,作業中
2026-02-03 22:56:45,G-9,作業中
2026-02-03 22:56:45,G-10,作業中
2026-02-03 22:56:45,H-1-1,作業中
2026-02-03 22:56:45,H-1-2,現場確認中
2026-02-03 22:56:45,H-2-1,作業中
2026-02-03 22:56:45,H-2-2,作業中
2026-02-03 22:56:45,H-3,現場確認中
2026-02-03 22:56:45,H-4,作業中
2026-02-03 22:56:45,I-1,作業中
2026-02-03 22:56:45,I-2-1,作業中
2026-02-03 22:56:45,I-2-2,作業中
2026-02-03 22:56:45,I-2-3,現場確認中
2026-02-03 22:56:45,I-3-1A,作業中
2026-02-03 22:56:45,I-3-1B,作業中
2026-02-03 22:56:45,I-3-1C,作業中
2026-02-03 22:56:45,I-3-2,作業中
2026-02-03 22:56:45,J-1-1,現場確認中
2026-02-03 22:56:45,J-1-2,作業中
2026-02-03 22:56:45,J-2,作業中
2026-02-03 22:56:45,J-3,作業中
2026-02-03 22:56:45,J-4,作業中
2026-02-03 22:56:45,J-5-1,現場確認中
2026-02-03 22:56:45,J-5-2,作業中
2026-02-03 22:56:45,J-6,作業中
2026-02-03 22:56:45,J-7,作業中
2026-02-03 22:56:45,J-8,現場確認中
2026-02-03 22:56:45,J-9,作業中
2026-02-03 22:56:45,J-10,現場確認中
2026-02-03 22:56:45,J-11,作業中
2026-02-03 22:56:45,J-12,作業中
2026-02-03 22:56:45,J-13,作業中
2026-02-03 22:56:45,J-14,作業中
2026-02-03 22:56:45,J-15,作業中
2026-02-03 22:56:45,J-16-1,作業中
2026-02-03 22:56:45,J-16-2,作業中
2026-02-03 22:56:45,J-17,作業中
2026-02-03 22:56:45,J-18,作業中
2026-02-03 22:56:45,K-1,作業中
2026-02-03 22:56:45,K-2,作業中
2026-02-03 22:56:45,K-3,作業中
2026-02-03 22:56:45,K-4,作業中
2026-02-03 22:56:45,L-1,作業中
2026-02-03 22:56:45,L-2,作業中
2026-02-03 22:56:45,L-3,作業予定あり
2026-02-03 22:56:45,L-4,作業中
2026-02-03 22:56:45,L-5,作業中
2026-02-03 22:56:45,L-6,作業中
2026-02-03 22:56:45,L-7,作業中
2026-02-03 22:56:45,L-8,作業予定あり
2026-02-03 22:56:45,L-9,作業中
2026-02-03 22:56:45,細越工区,作業中
2026-02-03 22:56:45,問屋町工区,作業中
2026-02-03 22:56:45,松元台団地工区,作業予定あり
2026-02-03 22:56:45,幸畑団地1工区,作業中
2026-02-03 22:56:45,幸畑団地2工区,作業中
2026-02-03 22:56:45,幸畑阿部野工区,作業中
2026-02-03 22:56:45,幸畑谷脇工区,作業中
2026-02-03 22:56:45,月見野工区,作業中
2026-02-03 22:56:45,戸山団地1工区,作業中
2026-02-03 22:56:45,戸山団地2工区,作業中
2026-02-03 22:56:45,戸山団地3工区,作業中
2026-02-03 22:56:45,戸山団地4工区,作業中
2026-02-03 22:56:45,野内工区,作業中
2026-02-03 22:56:45,久栗坂工区,現場確認中
2026-02-03 22:56:45,浅虫工区,作業中
2026-02-03 22:56:45,戸山工区,現場確認中
2026-02-03 22:56:45,桑原工区,現場確認中
2026-02-03 22:56:45,宮田工区,作業中
2026-02-03 22:56:45,諏訪沢工区,現場確認中
2026-02-03 22:56:45,後潟工区,現場確認中
2026-02-03 22:56:45,内真部工区,作業中
2026-02-03 22:56:45,奥内1工区,作業中
2026-02-03 22:56:45,奥内2工区,作業中
2026-02-03 22:56:45,飛鳥工区,作業中
2026-02-03 22:56:45,白旗野工区,作業中
2026-02-03 22:56:45,鶴ｹ坂･孫内工区,現場確認中
2026-02-03 22:56:45,太陽台団地工区,作業予定あり
2026-02-03 22:56:45,高田工区,現場確認中
2026-02-03 22:56:45,荒川･八ﾂ役1工区,現場確認中
2026-02-03 22:56:45,荒川･八ﾂ役2工区,作業中
2026-02-03 22:56:45,金浜･上野工区,作業中
2026-02-03 22:56:45,大別内工区,作業中
2026-02-03 22:56:45,野木工区,現場確認中
2026-02-03 22:56:45,合子沢工区,作業中
2026-02-03 22:56:45,横内1工区,作業中
2026-02-03 22:56:45,横内2工区,作業中
2026-02-03 22:56:45,梨の木工区,現場確認中
2026-02-03 22:56:45,沢山工区,現場確認中
2026-02-03 22:56:45,三本木工区,現場確認中
2026-02-03 22:56:45,矢田工区,作業中
2026-02-03 22:56:45,下湯工区,現場確認中
2026-02-03 23:40:13,A-1,作業中
2026-02-03 23:40:13,A-2,作業中
2026-02-03 23:40:13,A-3,作業中
2026-02-03 23:40:13,A-4,現場確認中
2026-02-03 23:40:13,A-5,作業中
2026-02-03 23:40:13,A-6,作業中
2026-02-03 23:40:13,B-1,現場確認中
2026-02-03 23:40:13,B-2-1,現場確認中
2026-02-03 23:40:13,B-2-2,作業中
2026-02-03 23:40:13,B-3-1,作業中
2026-02-03 23:40:13,B-3-2,現場確認中
2026-02-03 23:40:13,B-4-1,作業中
2026-02-03 23:40:13,B-4-2,作業中
2026-02-03 23:40:13,B-5,現場確認中
2026-02-03 23:40:13,B-6,作業中
2026-02-03 23:40:13,B-7,作業予定あり
2026-02-03 23:40:13,B-8,現場確認中
2026-02-03 23:40:13,B-9,現場確認中
2026-02-03 23:40:13,B-10-1,作業中
2026-02-03 23:40:13,B-10-2,作業中
2026-02-03 23:40:13,B-11-1,現場確認中
2026-02-03 23:40:13,B-11-2A,作業中
2026-02-03 23:40:13,B-11-2B,作業中
2026-02-03 23:40:13,B-12-1,現場確認中
2026-02-03 23:40:13,B-12-2,現場確認中
2026-02-03 23:40:13,B-13,現場確認中
